Order Number,Date,Group Major,Pin,Item Description,Qty,Lot,Invoice
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-057,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-058,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-059,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-060,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-061,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-062,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-063,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-064,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-065,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-066,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-067,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-068,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-069,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-070,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-071,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-072,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-073,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-074,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-075,595186
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-076,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-077,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-078,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-079,595170
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-080,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-081,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-082,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-083,595186
884321,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-084,595186
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-085,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-086,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-087,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-088,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-089,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-090,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-091,595170
